GeneSymbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
B3GNT2	NA	376.167687950248	47.9194715575572	36.8598305117324	NA	34.0544630979251	217.703198344258	NA	NA	NA	NA	0	0	18.0280135361873	51.1201165555567	23.206002514474	NA	69.2311264464947	72.2950203198966	55.9339658142908	NA	0
B3GNT3	NA	0	26.5882433930235	NA	NA	NA	148.995056964755	NA	NA	NA	NA	0	0	NA	NA	0	NA	83.0043043089575	0	20.4685975990289	122.207600789146	0
B3GNT4	1	1	1.66466000680302	1.16510580131859	1	1.20175899196554	NA	1.72813709220545	1	NA	1	1	1	1.99896626539416	2.61975423690382	1.07149643264212	2.98864146977083	5.01893551283315	0.844749484484464	1.41171013976062	1	1
B3GNT5	1	1	11.9262096608256	NA	1	NA	NA	1	1	1	NA	1	NA	9.48249235778305	NA	NA	1	182.409686405942	1	50.6878377363469	NA	NA
B3GNT6	1.16694726965104	1	1.02592622592201	0.983547140617849	1	0.997193793669066	0.654654333913912	1.23742215263367	1	1.52162207043647	0.999468740902982	1.01530067140504	0.992343256961821	1.13793415307944	0.93268100881162	0.991155778857783	0.736665024292051	0.784761636440083	1.13168606730296	1.01403692555528	1	0.987446648308463
B3GNT7	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3GNT8	9.43489646637924	NA	NA	4.04372477034375	132.06226200037	NA	0	NA	NA	0	NA	0	NA	2.59952299798819	0	4.13012061427253	NA	0	NA	NA	NA	NA
B3GNT9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4892680577198	NA	11.609130010638	NA	NA	NA	1	NA	1
B3GNTL1	8.63820786723626	NA	4.98198653246829	NA	189.283118270231	NA	0	8.3396563862507	NA	NA	9.09396364252081	NA	NA	4.75162760517491	8.19011332920261	3.66915188077574	11.2485930698714	NA	NA	0	NA	NA
B4GALNT1	0	0	NA	0	NA	0	0	NA	NA	0	0	NA	0	NA	36.4356831973976	NA	NA	NA	0	0	0	NA
