"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"HKB0211_3002_T"	4.08377982819489e-15	0.028015147068543	0.0247066187288055	0.00227238124131144	0.0309269642677006	0.0171924463602016	0.094249891180544
"HKB0214_3006_T"	0.0568107968070366	0.197135175197268	0.0952929264643397	9.91354124630019e-15	0.0690880079719903	0.0788021672133846	0.0831992504728314
"HKB0217_3005_T"	1.06668087044639e-14	1.06668087044639e-14	0.133878189003166	1.06668087044639e-14	0.0679304089248796	0.0346448712269435	0.00954216197409365
"HKB0219_3001_T"	1.65239578234114e-14	1.65239578234114e-14	0.0570850376121506	1.65239578234114e-14	0.0595181624755454	0.0255991135200024	0.0312257758020037
"HKB0220_3000_T"	0.194956733421109	0.288185268934358	0.0113009038385282	8.84093234890724e-15	0.0552828310013461	0.0421917721979227	8.84093234890724e-15
"HKB0221_3001_T"	0.0714197400235626	0.0482144286730673	2.31019069598501e-09	1.84752873362866e-14	0.054301194463919	0.115983161856101	0.071195727555349
"HKB0222_3006_T"	0.00259237649831034	0.00983859914958462	0.00773764780245357	0.0145820822050239	0.0259727750310284	0.308482538638343	0.00817680770226064
"HKB0225_3001_T"	9.91810883418019e-15	9.91810883418019e-15	0.0312547370421691	9.91810883418019e-15	0.033674620519073	0.122620297537067	9.91810883418019e-15
"HKB0226_3001_T"	1.43347867744203e-14	1.43347867744203e-14	0.023521082253198	1.43347867744203e-14	0.0484693779251632	0.159211587300072	0.0302099036149343
"HKB0227_3006_T"	0.0701228976355944	0.0589424057817754	0.00974412603075522	1.48941421171657e-14	0.00176386947984697	0.0383451237780229	1.48941421171657e-14
"HKB0228_3002_T"	0.00894019539662267	0.0228422591634704	2.00344609670366e-13	1.28602171639678e-14	0.14024654527858	0.0390267213638028	0.0599231566057304
"HKB0230_3006_T"	0.0398239555280648	0.00100655158259533	0.0387526393283186	1.53625531113533e-14	0.0219502042754088	0.0845786067529891	0.0233222167795859
"HKB0232_3000_T"	9.08421711129622e-15	9.08421711129622e-15	9.08421711129622e-15	9.08421711129622e-15	0.117067401953905	0.0779365892601893	0.0124487208266971
"HKB0233_3006_T"	0.00561631962416582	6.39224036443287e-15	6.39224036443287e-15	6.39224036443287e-15	0.013603177833793	0.0862737017647318	6.39224036443287e-15
"HKB0540_3000_T"	0.00420000193591975	1.32207124025372e-14	0.0708628313395314	0.00596828295328742	1.32207124025372e-14	0.116415598005246	1.32207124025372e-14
