"ID"	"S01"	"S02"	"S03"
"HKB0161_3000_N"	9.34399524682509e-15	0.802960589870205	0.0468669547106175
"HKB0162_3000_N"	0.0038386280303251	0.748672465727738	0.182835856424905
"HKB0164_3000_N"	0.198221598155875	0.383705087960349	0.000528882246524289
"HKB0167_3000_N"	0.154066149840811	0.453337692963326	0.201479175907588
"HKB0168_3000_N"	0.188892873823806	0.137927788200262	1.17025948082758e-14
"HKB0179_3000_N"	0.00268901383451625	0.755841817158508	0.184883005450517
"HKB0186_3002_N"	0.138461816646692	0.557493463983914	0.0447226296447354
"HKB0194_3000_N"	0.120927217124108	0.458858268933344	0.0218590435194058
"HKB0196_3000_N"	0.0304362680215955	0.67685187108127	0.20739728028631
"HKB0198_3000_N"	0.368481889312415	0.419252132829646	0.0886271068245991
"HKB0207_3000_N"	7.85517497162243e-11	0.741826030176018	0.210727395726256
"HKB0210_3000_N"	0.18799025847245	0.457165003979429	0.0771670008162542
"HKB0211_3000_N"	9.51647222710462e-15	0.685467722126665	0.307388991688365
"HKB0214_3000_N"	0.108403269255723	0.518032056158767	0.068646523198535
"HKB0216_3000_N"	9.34032452499835e-15	9.34032452499835e-15	0.844467438174285
"HKB0219_3000_N"	0.29747177140556	0.470599070522805	0.189240545251581
"HKB0220_3003_N"	8.72649112616447e-15	0.489697713060529	0.492788074733277
"HKB0221_3000_N"	0.110097040093883	0.630413965130966	0.0808921228209869
"HKB0222_3000_N"	0.0645469723839246	0.510248801263717	0.246363304234805
"HKB0225_3000_N"	0.15466213302697	0.309536152519734	1.24359113450827e-14
"HKB0226_3000_N"	0.0431498418852862	0.68375517291976	0.195205476553772
"HKB0227_3000_N"	1.10070631133916e-14	0.748574861101897	0.108677441566211
"HKB0233_3000_N"	0.664263742486072	0.0558974609340976	5.73352508019449e-15
"HKB0538_3000_N"	0.0118603556340197	0.336226564516486	0.0749622388559144
"HKB0562_3000_N"	0.141317165347742	0.323771921954773	1.20495524464547e-14
"HKB0571_3000_N"	0.0585239698784437	0.764178223822841	0.138580772183243
