"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0150_3000_N"	"HKB0150_3000_N"	"CE6"	1.07893184480416e-05	5.51515423135806e-05	TRUE	"CE6"
"HKB0155_3003_N"	"HKB0155_3003_N"	"CE6"	5.45577935571352e-05	0.000161575003996131	TRUE	"CE6"
"HKB0157_3000_N"	"HKB0157_3000_N"	"CE6"	2.58889887730093e-05	0.000101361972992629	TRUE	"CE6"
"HKB0158_3000_N"	"HKB0158_3000_N"	"CE6"	8.74446422181792e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0159_3000_N"	"HKB0159_3000_N"	"CE6"	3.87865234041281e-06	2.81911596507086e-05	TRUE	"CE6"
"HKB0160_3000_T"	"HKB0160_3000_T"	"CE6"	2.29291357317926e-05	9.41672087257715e-05	TRUE	"CE6"
"HKB0160_3001_N"	"HKB0160_3001_N"	"CE6"	2.41326019045561e-05	9.61143282750423e-05	TRUE	"CE6"
"HKB0161_3000_N"	"HKB0161_3000_N"	"CE6"	3.92701962726109e-05	0.000129591647699616	TRUE	"CE6"
"HKB0162_3000_N"	"HKB0162_3000_N"	"CE6"	1.72145235490797e-06	1.72893693036409e-05	TRUE	"CE6"
"HKB0164_3000_N"	"HKB0164_3000_N"	"CE6"	0.000302801626045403	0.000721104903262763	TRUE	"CE6"
"HKB0167_3000_N"	"HKB0167_3000_N"	"CE6"	1.48482951033582e-05	6.5110728842384e-05	TRUE	"CE6"
"HKB0179_3000_N"	"HKB0179_3000_N"	"CE6"	5.82159074477668e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0186_3002_N"	"HKB0186_3002_N"	"CE6"	5.11852505120937e-05	0.00015555103581856	TRUE	"CE6"
"HKB0194_3000_N"	"HKB0194_3000_N"	"CE6"	0.00124211776595257	0.00245238635841918	TRUE	"CE6"
"HKB0196_3000_N"	"HKB0196_3000_N"	"CE6"	1.57126278724359e-07	1.20987234617757e-05	TRUE	"CE6"
"HKB0198_3000_N"	"HKB0198_3000_N"	"CE6"	5.75865409667661e-07	1.27533230606607e-05	TRUE	"CE6"
"HKB0207_3000_N"	"HKB0207_3000_N"	"CE6"	1.32970447632261e-05	6.14323468061046e-05	TRUE	"CE6"
"HKB0210_3000_N"	"HKB0210_3000_N"	"CE6"	0.000104310306470003	0.00028018233482059	TRUE	"CE6"
"HKB0211_3000_N"	"HKB0211_3000_N"	"CE6"	1.66220429537968e-06	1.72893693036409e-05	TRUE	"CE6"
"HKB0214_3000_N"	"HKB0214_3000_N"	"CE6"	8.560449707717e-05	0.000238248660540076	TRUE	"CE6"
"HKB0219_3000_N"	"HKB0219_3000_N"	"CE6"	1.04782480111317e-05	5.50108020584417e-05	TRUE	"CE6"
"HKB0220_3003_N"	"HKB0220_3003_N"	"CE6"	6.3846054408576e-06	3.68710964209526e-05	TRUE	"CE6"
"HKB0221_3000_N"	"HKB0221_3000_N"	"CE6"	4.44675397484766e-06	3.11272778239336e-05	TRUE	"CE6"
"HKB0222_3000_N"	"HKB0222_3000_N"	"CE6"	3.17671813035667e-05	0.000112895675094214	TRUE	"CE6"
